!sil	▁ J
-'s	▁H
-'s	▁ S
-'t	▁wNj nL
-1k	▁QcA wp
-able	▁f hfx
-ains	▁L tA
-an	▁bA
-arious	▁b Gu tH
-as	▁bS
-as	▁c S
-asm	▁bS fz
-at	▁ aL
-at	▁bL
-at's	▁bL H
-ate	▁ pL
-ause	▁c S
-ay	▁p
-b-	▁h
-body	▁h a ju
-body's	▁hc j uS
-bout	▁heL
-cal	▁w fx
-cau-	▁wc
-chestra	▁w tHL G f
-choice	▁i E H
-chool	▁w Ox
-ciary	▁I f Gu
-cise	▁H gS
-come	▁wcz
-con-	▁wfA
-credible	▁wG lj t hfx
-cross	▁wG d H
-cuse	▁w RO H
-cutor	▁w RO L o
-duce	▁jO H
-ducted	▁j c wL tj
-e	▁u
-eah	▁b
-earned	▁ o Aj
-ee	▁u
-een	▁u A
-ell	▁l x
-ello	▁f x D
-ere's	▁ pG S
-erry	▁l Gu
-et	▁rlL
-ey	▁p
-f	▁q
-fferent	▁q fG tAL
-fit	▁q tL
-fluorocarbons	▁q x DG D w aG h fA
-fore	▁qDG
-fortunately	▁qDG i tA tL xu
-fr-	▁qG
-fraid	▁qG p j
-fusions	▁q RO T tA S
-gree	▁r Gu
-hart	▁s aGL
-head	▁s lj
-idn't	▁t j nL
-ight	▁g L
-ike	▁g w
-ill	▁t x
-is	▁t H
-ith	▁t k
-joy	▁v E
-joyed	▁v E j
-kay	▁w p
-ke	▁w
-ken	▁wfA
-laxed	▁x b w HL
-less	▁x lH
-ll	▁x
-llo	▁x D
-lution	▁x O ItA
-ly	▁xu
-ma-	▁Lf z aL DS
-magine	▁zb v tA
-member	▁z lz ho
-membered	▁z lz h oj
-mer-	▁z o
-mergency	▁z o v tAH u
-mongst	▁zc B HL
-mount	▁z e AL
-moves	▁zOP S
-n	▁A
-n't	▁A L
-nd	▁ Aj
-ness	▁A tH
-night	▁A gL
-noth-	▁A c k
-nother	▁A cko
-o	▁D
-o	▁ O
-obably	▁ ah fhxu
-ociety	▁f H g tLu
-oes	▁c S
-omen	▁t z tA
-on't	▁D AL
-one	▁QcA
-onna	▁c A f
-ord	▁DG j
-ors	▁ oS
-ot	▁ aL
-ou	▁ O
-ou-	▁h e
-ourse	▁DG H
-out	▁eL
-ow	▁D
-partment	▁FaGL ztAL
-pecially	▁F l I fxu
-pending	▁F lAj tB
-pends	▁F lAj S
-perience	▁F t Gu tAH
-person	▁FoH tA
-pinion	▁F tA R tA
-ployed	▁Fx E j
-portant	▁F DGL tAL
-posed	▁F DS j
-pposed	▁F DS j
-prised	▁FG gS j
-puter	▁F RO L o
-quires	▁wQ gG S
-r	▁G
-re	▁G
-re's	▁kpGS
-renewable	▁G tA O fh fx S
-round	▁G eAj
-s	▁H
-s	▁ S
-sane	▁Hp A
-satisfied	▁H bL tH q gj
-se	▁ S
-sego	▁H l r D
-self	▁H lx q
-ship	▁I tF
-side	▁H gj
-sign	▁ S g A
-squitoes	▁Hw u L DS
-sr	▁l H aG
-st	▁HL
-su-	▁I N
-sually	▁RO T fxu
-t	▁L
-t's	▁L H
-tailed	▁Lp xj
-tective	▁L lwL tP
-temporary	▁L l zF fG lGu
-ter	▁HL o
-ther	▁k o
-thing	▁MtB
-til	▁L tx
-times	▁Lgz S
-tory	▁L DG u
-tro-	▁LG D
-troit's	▁LG E L H
-tu-	▁L o
-tute	▁LO L
-ure	▁ NG
-ust	▁c HL
-v	▁P u
-van-	▁P bA
-ve	▁P
-veloping	▁P lx fF tB
-vely	▁P xu
-versity	▁ Po H tLu
-verting	▁ Po L tB
-vestment	▁P lHL ztAL
-way	▁Qp
-way-	▁Qp
-where	▁QpG
-y	▁g
-y	▁u
-z	▁ S
007	▁j c hfx D H lP tA
1	▁QcA
100	▁sc Aj G tj
101	▁QcA D Q cA
10a	▁L lA p
1200	▁LQ lx P sc Aj G tj
125k	▁QcA sc Aj G tj fAL Q lAL u q g P wp
128	▁Qc AL O pL
13th	▁M oL uA M
13ths	▁M oL uA M S
150	▁QcA q tq L u
1500	▁q tq L uA M sc Aj G tj
2	▁LO
20/20	▁LQ lAL u L Q lAL u
2000	▁LO M e S t Aj
21	▁LQ lAL u Q cA
260	▁LO H tw HL u
286	▁LO pL u H twH
287	▁LO pL u H lP fA
2ci	▁LO H u g
302	▁MGu DL O
365	▁MGu H tw HL u q g P
380	▁MGu pL u
386	▁MGu pL u H twH
4-runner	▁qDG G cA o
40-	▁qDG D
401-	▁qDG D Q cA
401k	▁qDG D Q cA wp
401k's	▁qDG D Q cA wp S
48	▁q DGL u pL
486	▁qDG pL u H twH
49er	▁q DGL uA g A o
49ers	▁q DGL uA g A oS
4h	▁qDG p i
4o-	▁qDG D
5	▁qgP
500	▁qgP sc Aj G tj
60	▁H tw HL u
635	▁H twH M oL u q g P
635's	▁t wH M oL u q g P
69	▁H tw HL uA g A
6s	▁H twH tS
7-eleven	▁H lP tA tx lP tA
7-up	▁H lP tA c F
7094	▁H lP lA D A g A qDG
747	▁H lP tA qDG H lP tA
8088	▁ pL u pL u pL
90210	▁Ag A DL O Q cA D
9050	▁Ag A M e S t Aj q tq L u
911	▁Ag A Q cA Q cA
990	▁Ag A A g AL u
<unk>	▁K
[laughter]	▁y
[noise]	▁C
[vocalized-noise]	▁K
a	▁f
a&e	▁p bAj u
a&m	▁p bAj lz
a-	▁ a
a-	▁b
a-	▁b x
a-	▁d
a-	▁f
a-	▁l
a-	▁p
a.	▁p
a.'s	▁ pS
a._a._r._p.	▁p p aG F u
a._b._a.	▁p hu p
a._b._c.	▁p hu H u
a._b._c.'s	▁p hu H uS
a._c.	▁ pH u
a._c._c.	▁ pH u H u
a._c._l._u.	▁ pH u lx RO
a._c._l._u.'s	▁ pH u lx RO S
a._c._m.	▁ pH u lz
a._f._c.	▁p l q H u
a._f._c.'s	▁p l q H uS
a._f._c.s	▁p l q H uS
a._f._l.	▁p l q lx
a._i._c._p._a.	▁p g H uF u p
a._i._t.	▁p gL u
a._j.s	▁p v pH
a._k._c.	▁p wp H u
a._m.	▁p lz
a._m._a.	▁p lz p
a._o._r.	▁p D aG
a._p.	▁p F u
a._p._a.	▁p F u p
a._p._d.	▁p F u ju
a._p._r.	▁p F u aG
a._r._e.	▁p aG u
a._r._i.	▁p aG g
a._s._t.	▁p lHL u
a._t.	▁ pL u
a._t._m.	▁ pL u lz
a._t._m.'s	▁ pL u lz H
a._t._s.	▁ pL u lH
a._t.s	▁ pL u H
a._z._t.	▁ pS u L u
a1	▁p Q cA
aames	▁p zS
aaron	▁ pG tA
ab-	▁b h
ab-	▁f h
ab-	▁p h
aback	▁f h b w
abacus	▁b h f w fH
abalon	▁b hfx aA
abalone	▁b hfx D A u
abandon	▁f h bAj tA
abandoned	▁f h bAj t Aj
abandoning	▁f h bAj tA tB
abbreviated	▁f h Gu P u pL tj
abbreviation	▁f h Gu P u pItA
abby	▁b hu
abcs	▁u hu H uS
abdominals	▁b h j a z tA fx S
abducting	▁b h j c wL tB
abduction	▁b h j c w ItA
abdul	▁b h j Ox
abe	▁p h
aberdeen	▁b ho ju A
abhor	▁b h s DG
abide	▁f h gj
abiding	▁f h gj tB
abilene	▁b h t xu A
abilities	▁f h tx tL uS
ability	▁f h tx tLu
able	▁p hfx
able-bodied	▁p hfx h a ju j
abnormal	▁b h A DG z fx
abnormality	▁b h A o z bx tLu
aboard	▁f h DG j
abolish	▁f h a x tI
aborigines	▁b h fG tv tA uS
abort	▁f h DGL
aborting	▁f h DGL tB
abortion	▁f h DG ItA
abortion's	▁f h DG ItA S
abortions	▁f h DG ItA S
abou-	▁f h e
abounding	▁f h eAj tB
about	▁f h eL
about	▁heL
abouts	▁f h eL H
above	▁f hc P
aboveboard	▁f hc P h DG j
abraham	▁p h G f s b z
abrams	▁p h G fz S
abrasive	▁f h G pH tP
abreast	▁f h G lHL
abridged	▁f h G tv j
abroad	▁f h G d j
abrode	▁f h G D j
abrupt	▁f h G c F L
abs-	▁b h H
absence	▁b h H fA H
absent	▁b h H lAL
absentee	▁b h H lAL u
absenteeism	▁b h H lAL u tS fz
absentees	▁b h H tAL uS
abso-	▁b h H f
absol-	▁b h H fx
absolu-	▁b h H fx O
absolut-	▁b h H fx O L
absolute	▁b h H fx O L
absolute-	▁b h H fx O L
absolutely	▁b h H fx O L xu
absoluteness	▁b h H fx O L A tH
absorb	▁f h S DG h
absorbed	▁f h S DG h j
absorbs	▁f h S DG h S
abstinence	▁b h HL tA tAH
abstract	▁b h HL G bwL
abstracts	▁b h HL G bwL H
absurd	▁f h H oj
abundance	▁f hc Aj tAH
abundant	▁f hc Aj tAL
abundantly	▁f hc Aj tAL xu
abuse	▁f h RO H
abused	▁f h RO S j
abuser	▁f h RO S o
abusers	▁f h RO S oS
abuses	▁f h RO H tS
abusing	▁f h RO S tB
abusive	▁f h RO H tP
abyss	▁f h tH
ac-	▁bw
ac-	▁f w
academia	▁bw f ju z u f
academic	▁bw f j lz tw
academically	▁bw f j lz tw xu
academics	▁bw f j lz twH
academies	▁f w b j fz uS
academy	▁f w b j fz u
acapulco	▁bw fF N x w D
acc-	▁b wH
acc-	▁f w
acc-	▁lwH
acce-	▁lwH l
accelerate	▁b wH lx fG pL
accelerated	▁b wH lx fG pL tj
acceleration	▁b wH lx fG pItA
accent	▁b wH lAL
accent's	▁b wH lAL H
accents	▁b wH lAL H
accep-	▁lwH lF
accept	▁lwH lF L
acceptable	▁lwH lF fh fx
acceptable	▁lwH lF L fh fx
acceptance	▁lwH lF L n H
acceptances	▁lwH lF L n H tS
accepted	▁lwH lF L tj
accepting	▁lwH lF L tB
acceptive	▁lwH lF L u P
accepts	▁lwH lF H
access	▁b wH lH
accessed	▁b wH lHL
accessibility	▁b wH lH fh tx tLu
accessible	▁b wH lH fh fx
accessories	▁b wH lH f Gu S
accessorize	▁b wH lH fG gS
accessors	▁b wH lH oS
acci-	▁b wH t
accident	▁b wH tj lAL
accidental	▁b wH tj lAL fx
accidentally	▁b wH tj lAL fxu
accidently	▁b wH tj lAL xu
accidents	▁b wH tj lAL H
acclaim	▁f w x pz
acclaimed	▁f w x pz j
acclimate	▁bw x tz pL
acclimated	▁bw x tz pL tj
acco-	▁f w a
acco-	▁f w D
accom-	▁f w a z
accommodate	▁f w a z f j pL
accommodated	▁f w a z f j pL tj
accommodating	▁f w a z f j pL tB
accommodations	▁f w a z f j pItA S
accompanied	▁f w cz FfA u j
accompanies	▁f w cz FfA uS
accompaniments	▁f w cz FfA u ztAL H
accompany	▁f w cz FfA u
accomplices	▁f w a zF x tH tS
accomplish	▁f w a zF x tI
accomplished	▁f w a zF x tI L
accomplishes	▁f w a zF x tI tS
accomplishing	▁f w a zF x tI tB
accomplishment	▁f w a zF x tI ztAL
accomplishments	▁f w a zF x tI ztAL H
accor-	▁f w DG
accord	▁f w DG j
accordance	▁f w DG j n H
according	▁f w DG j tB
accordingly	▁f w DG j tB xu
accordion	▁f w DG ju tA
accords	▁f w DG j S
accosted	▁f w d HL tj
account	▁f w e AL
account's	▁f w e AL H
accountability	▁f w e AL fh tx tLu
accountable	▁f w e AL fh fx
accountant	▁f w e AL nL
accountant's	▁f w e AL nL H
accountants	▁f w e AL nL H
accounted	▁f w e AL tj
accounting	▁f w eA tB
accounting	▁f w e AL tB
accounts	▁f w e AL H
accredita-	▁f w G lj tL p
accreditation	▁f w G lj tL pItA
accreditations	▁f w G lj tL pItA S
accredited	▁f w G lj tL tj
accrue	▁f w G O
accrued	▁f w G Oj
accu-	▁bw R f
accumulate	▁f w RO z R fx pL
accumulated	▁f w RO z R fx pL tj
accumulates	▁f w RO z R fx pL H
accumulating	▁f w RO z R fx pL tB
accumulation	▁f w RO z R fx pItA
accumulative	▁f w RO z R fx fL tP
accumulators	▁f w RO z R fx pL oS
accuracy	▁bw R fG fH u
accurate	▁bw R fG tL
accurate-	▁bw R fG tL
accurately	▁bw R fG tL xu
accusation	▁bw RO S pItA
accusations	▁bw RO S pItA S
accuse	▁f w RO S
accused	▁f w RO S j
accuses	▁f w RO S tS
accusing	▁f w RO S tB
accustom	▁f w cHL fz
accustomed	▁f w cHL fz j
ace	▁ pH
aces	▁ pH tS
ache	▁p w
aches	▁p wH
achie-	▁f i u
achieve	▁f i u P
achieved	▁f i u P j
achievement	▁f i u P ztAL
achievements	▁f i u P ztAL H
achieving	▁f i u P tB
acid	▁b H tj
acidic	▁f H tj tw
acidity	▁f H tj tLu
acids	▁b H tj S
acknowledge	▁bw A a x tv
acknowledging	▁bw A a x tv tB
acorn	▁p w DG A
acorns	▁p w DG A S
acoust-	▁f w O HL
acoustic	▁f w O HL tw
acoustical	▁f w O HL twfx
acoustically	▁f w O HL tw xu
acoustics	▁f w O HL twH
acquaint-	▁f w Qp AL
acquaintance	▁f w Qp AL n H
acquaintances	▁f w Qp AL n H tS
acquainted	▁f w Qp AL tj
acquire	▁f w Q gG
acquired	▁f w Q gG j
acquiring	▁f w Q gG tB
acquisition	▁bw Q tS t ItA
acquit	▁f w Q tL
acquittal	▁f w Q tLfx
acquitted	▁f w Q tL tj
acquitting	▁f w Q tL tB
acre	▁p w o
acreage	▁p w fG tv
acres	▁p w oS
acro-	▁f w G d
across	▁f w G d H
acrostic	▁f w G a HL tw
acrylic	▁f w G tx tw
acrylics	▁f w G tx twH
act	▁b wL
act-	▁bw i
act-	▁bw I
act-	▁b wL
acted	▁b wL tj
acting	▁b wL tB
actinide	▁b wL tA gj
action	▁bw ItA
actions	▁bw ItA S
activate	▁b wL tP pL
activated	▁b wL tP pL tj
active	▁b wL tP
actively	▁b wL tP xu
activist	▁b wL tP tHL
activists	▁b wL tP tHL H
activities	▁b wL tP tL uS
activity	▁b wL tP tLu
actor	▁b wL o
actors	▁b wL oS
actors'	▁b wL oS
actress	▁b wL G tH
actresses	▁b wL G tH tS
acts	▁b wL H
actu-	▁bw iO
actua-	▁bw iO f
actual	▁bw iO fx
actuality	▁bw iO bx tLu
actuall-	▁bw iO fx
actually	▁bwiOfxu
acuity	▁f w RO tLu
acupuncture	▁bw RO F c B i o
acura	▁bw R fG f
acute	▁f w RO L
acutely	▁f w RO L xu
ad	▁b j
ad-	▁b j
ad-	▁f
adage	▁b j tv
adam	▁b j fz
adamant	▁b j fz fAL
adamantly	▁b j fz fAL xu
adamnet	▁b j fz A lL
adams	▁b j fz S
adapt	▁f j b F L
adaptable	▁f j b F L fh fx
adaptation	▁b j fF L pItA
adaptations	▁b j fF L pItA S
adapted	▁f j b F L tj
adapting	▁f j b F L tB
adcose	▁b j w DS
add	▁b j
add-	▁b j
add-	▁f j
addams	▁b j fz S
added	▁b j tj
adder	▁b j o
addict	▁b j tw L
addicted	▁f j tw L tj
addiction	▁f j tw ItA
addictions	▁f j tw ItA S
addictive	▁f j tw L tP
addicts	▁b j tw L H
adding	▁b j tB
addison	▁b j tH fA
addition	▁f j t ItA
additional	▁f j t ItA fx
additionally	▁f j t ItA fxu
additions	▁f j t ItA S
additives	▁b j tL tP S
addled	▁b j m j
address	▁b j G lH
address	▁f j G lH
addressed	▁f j G lHL
addresses	▁b j G lH tS
addressing	▁f j G lH tB
adds	▁b j S
adelaide	▁b j fx p j
adept	▁b j lF L
adequate	▁b j f w Q tL
adequately	▁b j f w Q tL xu
adh-	▁b j s
adhere	▁b j s uG
adherence	▁b j s uG tAH
adheres	▁b j s uG S
adhering	▁b j s uG tB
adhesive	▁b j s u H tP
adios	▁ a ju D H
adirondack	▁b j t G a Aj b w
adirondacks	▁b j t G a Aj b wH
adjacent	▁f v pH tAL
adjoin	▁f v E A
adjoining	▁f v E A tB
adjourned	▁f v o Aj
adjudicator	▁b j v Oj tw pL o
adjust	▁f v cHL
adjustability	▁f v cHL fh tx tLu
adjustable	▁f v cHL fh fx
adjusted	▁f v cHL tj
adjuster	▁f v cHL o
adjusters	▁f v cHL oS
adjusting	▁f v cHL tB
adjustment	▁f v cHL ztAL
adjustments	▁f v cHL ztAL H
admin	▁b j z tA
adminis-	▁b j z tA tH
administaff	▁b j z tA tHL b q
administer	▁b j z tA tHL o
administered	▁b j z tA tHL oj
administering	▁b j z tA tHL fG tB
administers	▁b j z tA tHL oS
administrate	▁b j z tA tHL G pL
administrating	▁b j z tA tHL G pL tB
administration	▁b j z tA tHL G pItA
administration's	▁b j z tA tHL G pItA S
administrations	▁b j z tA tHL G pItA S
administrative	▁b j z tA tHL G pL tP
administratively	▁b j z tA tHL G pL tP xu
administrator	▁b j z tA tHL G pL o
administrators	▁b j z tA tHL G pL oS
administrators'	▁b j z tA tHL G pL oS
admirable	▁b j z fG fh fx
admiral	▁b j z t G fx
admiration	▁b j z fG pItA
