!sil J
-'s H
-'s S
-'t wNjnL
-1k QcAwp
-able fhfx
-ains LtA
-an bA
-arious bGutH
-as bS
-as cS
-asm bSfz
-at aL
-at bL
-at's bLH
-ate pL
-ause cS
-ay p
-b- h
-body haju
-body's hcjuS
-bout heL
-cal wfx
-cau- wc
-chestra wtHLGf
-choice iEH
-chool wOx
-ciary IfGu
-cise HgS
-come wcz
-con- wfA
-credible wGljthfx
-cross wGdH
-cuse wROH
-cutor wROLo
-duce jOH
-ducted jcwLtj
-e u
-eah b
-earned oAj
-ee u
-een uA
-ell lx
-ello fxD
-ere's pGS
-erry lGu
-et rlL
-ey p
-f q
-fferent qfGtAL
-fit qtL
-fluorocarbons qxDGDwaGhfA
-fore qDG
-fortunately qDGitAtLxu
-fr- qG
-fraid qGpj
-fusions qROTtAS
-gree rGu
-hart saGL
-head slj
-idn't tjnL
-ight gL
-ike gw
-ill tx
-is tH
-ith tk
-joy vE
-joyed vEj
-kay wp
-ke w
-ken wfA
-laxed xbwHL
-less xlH
-ll x
-llo xD
-lution xOItA
-ly xu
-ma- LfzaLDS
-magine zbvtA
-member zlzho
-membered zlzhoj
-mer- zo
-mergency zovtAHu
-mongst zcBHL
-mount zeAL
-moves zOPS
-n A
-n't AL
-nd Aj
-ness AtH
-night AgL
-noth- Ack
-nother Acko
-o D
-o O
-obably ahfhxu
-ociety fHgtLu
-oes cS
-omen tztA
-on't DAL
-one QcA
-onna cAf
-ord DGj
-ors oS
-ot aL
-ou O
-ou- he
-ourse DGH
-out eL
-ow D
-partment FaGLztAL
-pecially FlIfxu
-pending FlAjtB
-pends FlAjS
-perience FtGutAH
-person FoHtA
-pinion FtARtA
-ployed FxEj
-portant FDGLtAL
-posed FDSj
-pposed FDSj
-prised FGgSj
-puter FROLo
-quires wQgGS
-r G
-re G
-re's kpGS
-renewable GtAOfhfxS
-round GeAj
-s H
-s S
-sane HpA
-satisfied HbLtHqgj
-se S
-sego HlrD
-self Hlxq
-ship ItF
-side Hgj
-sign SgA
-squitoes HwuLDS
-sr lHaG
-st HL
-su- IN
-sually ROTfxu
-t L
-t's LH
-tailed Lpxj
-tective LlwLtP
-temporary LlzFfGlGu
-ter HLo
-ther ko
-thing MtB
-til Ltx
-times LgzS
-tory LDGu
-tro- LGD
-troit's LGELH
-tu- Lo
-tute LOL
-ure NG
-ust cHL
-v Pu
-van- PbA
-ve P
-veloping PlxfFtB
-vely Pxu
-versity PoHtLu
-verting PoLtB
-vestment PlHLztAL
-way Qp
-way- Qp
-where QpG
-y g
-y u
-z S
007 jchfxDHlPtA
1 QcA
100 scAjGtj
101 QcADQcA
10a LlAp
1200 LQlxPscAjGtj
125k QcAscAjGtjfALQlALuqgPwp
128 QcALOpL
13th MoLuAM
13ths MoLuAMS
150 QcAqtqLu
1500 qtqLuAMscAjGtj
2 LO
20/20 LQlALuLQlALu
2000 LOMeStAj
21 LQlALuQcA
260 LOHtwHLu
286 LOpLuHtwH
287 LOpLuHlPfA
2ci LOHug
302 MGuDLO
365 MGuHtwHLuqgP
380 MGupLu
386 MGupLuHtwH
4-runner qDGGcAo
40- qDGD
401- qDGDQcA
401k qDGDQcAwp
401k's qDGDQcAwpS
48 qDGLupL
486 qDGpLuHtwH
49er qDGLuAgAo
49ers qDGLuAgAoS
4h qDGpi
4o- qDGD
5 qgP
500 qgPscAjGtj
60 HtwHLu
635 HtwHMoLuqgP
635's twHMoLuqgP
69 HtwHLuAgA
6s HtwHtS
7-eleven HlPtAtxlPtA
7-up HlPtAcF
7094 HlPlADAgAqDG
747 HlPtAqDGHlPtA
8088 pLupLupL
90210 AgADLOQcAD
9050 AgAMeStAjqtqLu
911 AgAQcAQcA
990 AgAAgALu
<unk> K
[laughter] y
[noise] C
[vocalized-noise] K
a f
a&e pbAju
a&m pbAjlz
a- a
a- b
a- bx
a- d
a- f
a- l
a- p
a. p
a.'s pS
a._a._r._p. ppaGFu
a._b._a. phup
a._b._c. phuHu
a._b._c.'s phuHuS
a._c. pHu
a._c._c. pHuHu
a._c._l._u. pHulxRO
a._c._l._u.'s pHulxROS
a._c._m. pHulz
a._f._c. plqHu
a._f._c.'s plqHuS
a._f._c.s plqHuS
a._f._l. plqlx
a._i._c._p._a. pgHuFup
a._i._t. pgLu
a._j.s pvpH
a._k._c. pwpHu
a._m. plz
a._m._a. plzp
a._o._r. pDaG
a._p. pFu
a._p._a. pFup
a._p._d. pFuju
a._p._r. pFuaG
a._r._e. paGu
a._r._i. paGg
a._s._t. plHLu
a._t. pLu
a._t._m. pLulz
a._t._m.'s pLulzH
a._t._s. pLulH
a._t.s pLuH
a._z._t. pSuLu
a1 pQcA
aames pzS
aaron pGtA
ab- bh
ab- fh
ab- ph
aback fhbw
abacus bhfwfH
abalon bhfxaA
abalone bhfxDAu
abandon fhbAjtA
abandoned fhbAjtAj
abandoning fhbAjtAtB
abbreviated fhGuPupLtj
abbreviation fhGuPupItA
abby bhu
abcs uhuHuS
abdominals bhjaztAfxS
abducting bhjcwLtB
abduction bhjcwItA
abdul bhjOx
abe ph
aberdeen bhojuA
abhor bhsDG
abide fhgj
abiding fhgjtB
abilene bhtxuA
abilities fhtxtLuS
ability fhtxtLu
able phfx
able-bodied phfxhajuj
abnormal bhADGzfx
abnormality bhAozbxtLu
aboard fhDGj
abolish fhaxtI
aborigines bhfGtvtAuS
abort fhDGL
aborting fhDGLtB
abortion fhDGItA
abortion's fhDGItAS
abortions fhDGItAS
abou- fhe
abounding fheAjtB
about fheL
about heL
abouts fheLH
above fhcP
aboveboard fhcPhDGj
abraham phGfsbz
abrams phGfzS
abrasive fhGpHtP
abreast fhGlHL
abridged fhGtvj
abroad fhGdj
abrode fhGDj
abrupt fhGcFL
abs- bhH
absence bhHfAH
absent bhHlAL
absentee bhHlALu
absenteeism bhHlALutSfz
absentees bhHtALuS
abso- bhHf
absol- bhHfx
absolu- bhHfxO
absolut- bhHfxOL
absolute bhHfxOL
absolute- bhHfxOL
absolutely bhHfxOLxu
absoluteness bhHfxOLAtH
absorb fhSDGh
absorbed fhSDGhj
absorbs fhSDGhS
abstinence bhHLtAtAH
abstract bhHLGbwL
abstracts bhHLGbwLH
absurd fhHoj
abundance fhcAjtAH
abundant fhcAjtAL
abundantly fhcAjtALxu
abuse fhROH
abused fhROSj
abuser fhROSo
abusers fhROSoS
abuses fhROHtS
abusing fhROStB
abusive fhROHtP
abyss fhtH
ac- bw
ac- fw
academia bwfjuzuf
academic bwfjlztw
academically bwfjlztwxu
academics bwfjlztwH
academies fwbjfzuS
academy fwbjfzu
acapulco bwfFNxwD
acc- bwH
acc- fw
acc- lwH
acce- lwHl
accelerate bwHlxfGpL
accelerated bwHlxfGpLtj
acceleration bwHlxfGpItA
accent bwHlAL
accent's bwHlALH
accents bwHlALH
accep- lwHlF
accept lwHlFL
acceptable lwHlFfhfx
acceptable lwHlFLfhfx
acceptance lwHlFLnH
acceptances lwHlFLnHtS
accepted lwHlFLtj
accepting lwHlFLtB
acceptive lwHlFLuP
accepts lwHlFH
access bwHlH
accessed bwHlHL
accessibility bwHlHfhtxtLu
accessible bwHlHfhfx
accessories bwHlHfGuS
accessorize bwHlHfGgS
accessors bwHlHoS
acci- bwHt
accident bwHtjlAL
accidental bwHtjlALfx
accidentally bwHtjlALfxu
accidently bwHtjlALxu
accidents bwHtjlALH
acclaim fwxpz
acclaimed fwxpzj
acclimate bwxtzpL
acclimated bwxtzpLtj
acco- fwa
acco- fwD
accom- fwaz
accommodate fwazfjpL
accommodated fwazfjpLtj
accommodating fwazfjpLtB
accommodations fwazfjpItAS
accompanied fwczFfAuj
accompanies fwczFfAuS
accompaniments fwczFfAuztALH
accompany fwczFfAu
accomplices fwazFxtHtS
accomplish fwazFxtI
accomplished fwazFxtIL
accomplishes fwazFxtItS
accomplishing fwazFxtItB
accomplishment fwazFxtIztAL
accomplishments fwazFxtIztALH
accor- fwDG
accord fwDGj
accordance fwDGjnH
according fwDGjtB
accordingly fwDGjtBxu
accordion fwDGjutA
accords fwDGjS
accosted fwdHLtj
account fweAL
account's fweALH
accountability fweALfhtxtLu
accountable fweALfhfx
accountant fweALnL
accountant's fweALnLH
accountants fweALnLH
accounted fweALtj
accounting fweAtB
accounting fweALtB
accounts fweALH
accredita- fwGljtLp
accreditation fwGljtLpItA
accreditations fwGljtLpItAS
accredited fwGljtLtj
accrue fwGO
accrued fwGOj
accu- bwRf
accumulate fwROzRfxpL
accumulated fwROzRfxpLtj
accumulates fwROzRfxpLH
accumulating fwROzRfxpLtB
accumulation fwROzRfxpItA
accumulative fwROzRfxfLtP
accumulators fwROzRfxpLoS
accuracy bwRfGfHu
accurate bwRfGtL
accurate- bwRfGtL
accurately bwRfGtLxu
accusation bwROSpItA
accusations bwROSpItAS
accuse fwROS
accused fwROSj
accuses fwROStS
accusing fwROStB
accustom fwcHLfz
accustomed fwcHLfzj
ace pH
aces pHtS
ache pw
aches pwH
achie- fiu
achieve fiuP
achieved fiuPj
achievement fiuPztAL
achievements fiuPztALH
achieving fiuPtB
acid bHtj
acidic fHtjtw
acidity fHtjtLu
acids bHtjS
acknowledge bwAaxtv
acknowledging bwAaxtvtB
acorn pwDGA
acorns pwDGAS
acoust- fwOHL
acoustic fwOHLtw
acoustical fwOHLtwfx
acoustically fwOHLtwxu
acoustics fwOHLtwH
acquaint- fwQpAL
acquaintance fwQpALnH
acquaintances fwQpALnHtS
acquainted fwQpALtj
acquire fwQgG
acquired fwQgGj
acquiring fwQgGtB
acquisition bwQtStItA
acquit fwQtL
acquittal fwQtLfx
acquitted fwQtLtj
acquitting fwQtLtB
acre pwo
acreage pwfGtv
acres pwoS
acro- fwGd
across fwGdH
acrostic fwGaHLtw
acrylic fwGtxtw
acrylics fwGtxtwH
act bwL
act- bwi
act- bwI
act- bwL
acted bwLtj
acting bwLtB
actinide bwLtAgj
action bwItA
actions bwItAS
activate bwLtPpL
activated bwLtPpLtj
active bwLtP
actively bwLtPxu
activist bwLtPtHL
activists bwLtPtHLH
activities bwLtPtLuS
activity bwLtPtLu
actor bwLo
actors bwLoS
actors' bwLoS
actress bwLGtH
actresses bwLGtHtS
acts bwLH
actu- bwiO
actua- bwiOf
actual bwiOfx
actuality bwiObxtLu
actuall- bwiOfx
actually bwiOfxu
acuity fwROtLu
acupuncture bwROFcBio
acura bwRfGf
acute fwROL
acutely fwROLxu
ad bj
ad- bj
ad- f
adage bjtv
adam bjfz
adamant bjfzfAL
adamantly bjfzfALxu
adamnet bjfzAlL
adams bjfzS
adapt fjbFL
adaptable fjbFLfhfx
adaptation bjfFLpItA
adaptations bjfFLpItAS
adapted fjbFLtj
adapting fjbFLtB
adcose bjwDS
add bj
add- bj
add- fj
addams bjfzS
added bjtj
adder bjo
addict bjtwL
addicted fjtwLtj
addiction fjtwItA
addictions fjtwItAS
addictive fjtwLtP
addicts bjtwLH
adding bjtB
addison bjtHfA
addition fjtItA
additional fjtItAfx
additionally fjtItAfxu
additions fjtItAS
additives bjtLtPS
addled bjmj
address bjGlH
address fjGlH
addressed fjGlHL
addresses bjGlHtS
addressing fjGlHtB
adds bjS
adelaide bjfxpj
adept bjlFL
adequate bjfwQtL
adequately bjfwQtLxu
adh- bjs
adhere bjsuG
adherence bjsuGtAH
adheres bjsuGS
adhering bjsuGtB
adhesive bjsuHtP
adios ajuDH
adirondack bjtGaAjbw
adirondacks bjtGaAjbwH
adjacent fvpHtAL
adjoin fvEA
adjoining fvEAtB
adjourned fvoAj
adjudicator bjvOjtwpLo
adjust fvcHL
adjustability fvcHLfhtxtLu
adjustable fvcHLfhfx
adjusted fvcHLtj
adjuster fvcHLo
adjusters fvcHLoS
adjusting fvcHLtB
adjustment fvcHLztAL
adjustments fvcHLztALH
admin bjztA
adminis- bjztAtH
administaff bjztAtHLbq
administer bjztAtHLo
administered bjztAtHLoj
administering bjztAtHLfGtB
administers bjztAtHLoS
administrate bjztAtHLGpL
administrating bjztAtHLGpLtB
administration bjztAtHLGpItA
administration's bjztAtHLGpItAS
administrations bjztAtHLGpItAS
administrative bjztAtHLGpLtP
administratively bjztAtHLGpLtPxu
administrator bjztAtHLGpLo
administrators bjztAtHLGpLoS
administrators' bjztAtHLGpLoS
admirable bjzfGfhfx
admiral bjztGfx
admiration bjzfGpItA
admire bjzgG
admirer fjzgGo
admires bjzgGS
admissible bjztHfhfx
admission bjztItA
admissions bjztItAS
admit bjztL
admits bjztLH
admitted bjztLtj
admittedly bjztLtjxu
admitting bjztLtB
admonition bjzfAtItA
admonitions bjzfAtItAS
adobo fjDhD
adolescence bjfxlHtAH
adolescents bjfxlHtALH
adolf bjaxq
adolph's bjaxqH
adopt fjaFL
adopt- fjaFL
adopt-a-highway fjaFLfsgQp
adopted fjaFLtj
adopting fjaFLtB
adoption fjaFItA
adoptive fjaFLtP
adopts fjaFLH
adorable fjDGfhfx
adore fjDG
adored fjDGj
adornment fjDGAztAL
adrenalin fjGlAfxtA
adrenaline fjGlAfxtA
adrian pjGutA
adrift fjGtqL
adroit fjGEL
ads bjS
adubato bjOhaLD
adult bjfxL
adult's bjfxLH
adulthood fjcxLsNj
adults bjfxLH
adv- bjP
adva- bjPb
advan- bjPbA
advance bjPbAH
advanced bjPbAHL
advancement bjPbAHztAL
advances bjPbAHtS
advancing bjPbAHtB
advantage bjPbALtv
advantaged bjPbALtvj
advantageous bjPfALpvtH
advantages bjPbALtvtS
advent bjPlAL
adventists bjPlALtHLH
adventure bjPlAio
adventured bjPlAioj
adventurer bjPlAifGo
adventures bjPlAioS
adventuresome bjPlAioHfz
adventurous bjPlAifGtH
adver- bjPo
adversaries bjPoHlGuS
adverse bjPoH
advert- bjPoL
advertise bjPoLgS
advertised bjPoLgSj
advertisement bjPoLgSztAL
advertisements bjPoLgSztALH
advertisers bjPoLgSoS
advertising bjPoLgStB
advice bjPgH
advil bjPtx
advisable bjPgSfhfx
advise bjPgS
advised bjPgSj
advisement bjPgSztAL
advises bjPgStS
advising bjPgStB
advisor bjPgSo
advisors bjPgSfGS
advisory bjPgSfGu
advocacy bjPfwfHu
advocate bjPfwpL
advocates bjPfwpLH
advocating bjPfwpLtB
ae- f
aerate pGpL
aerial pGufx
aero- pGD
aerob- fGDh
aerobatics pGfhbLtwH
aerobic fGDhtw
aerobically fGDhtwxu
aerobics fGDhtwH
aerodynamic pGDjgAbztw
aerodyne pGDjgA
aeronautical pGfAdLtwfx
aerosmith pGDHztM
aerosol pGfHdx
aerosols pGfHdxH
aerospace pGDHFpH
aerostar pGDHLaG
aesthetic lHMlLtw
aesthetically lHMlLtwxu
aetna lLAf
af- bq
af- fq
afar fqaG
aff- bq
aff- fq
affair fqpG
affairs fqpGS
affect bqlwL
affect- bqlw
affected fqlwLtj
affecting fqlwLtB
affection fqlwItA
affectionate fqlwItAtL
affects bqlwH
affidavit bqtjpPtL
affiliate fqtxupL
affiliated fqtxupLtj
affiliates fqtxupLH
affiliation fqtxupItA
affirmative fqozfLtP
affixing fqtwHtB
afflicted fqxtwLtj
affluence bqxOtAH
affluent bqxOtAL
affluents bqxOtALH
afford fqDGj
affordable fqDGjfhfx
afforded fqDGjtj
affording fqDGjtB
affords fqDGjS
afghan bqrbA
afghani bqrbAu
afghanis- bqrbAtH
afghanistan bqrbAtHLbA
afghanistanis bqrbAtHLbAtH
afghans bqrbAS
afloat fqxDL
afoot fqNL
afraid fqGpj
afresh fqGlI
afri- bqGtwfA
africa bqGtwf
african bqGtwfA
africans bqGtwfAS
aft- bqL
after bqLo
afterburners bqLohoAoS
aftermath bqLozbM
afternoon bqLoAOA
afternoons bqLoAOAS
afterthought bqLoMdL
afterward bqLoQoj
afterwards bqLoQojS
ag- br
ag- fr
ag- pv
aga- brf
agai- frl
again frlA
again- frlA
against frlAHL
agape frpF
agatha brfMf
age pv
aged pvj
agencies pvtAHuS
agency pvtAHu
agenda fvlAjf
agent pvtAL
agents pvtALH
ager pro
ages pvtS
agewise pvQgS
agey pvu
aggrava- brGfPp
aggravate brGfPpL
aggravated brGfPpLtj
aggravates brGfPpLH
aggravating brGfPpLtB
aggravation brGfPpItA
aggress- frGlH
aggression frGlItA
aggressions frGlItAS
aggressive frGlHtP
aggressor frGlHo
aghast frbHL
agile bvfx
aging pvtB
agitating bvtLpLtB
agnostic brAaHLtw
agnus brAcH
ago frD
agony brfAu
agr- frG
agrarian frGlGutA
agree frGu
agreeable frGufhfx
agreed frGuj
agreeing frGutB
agreement frGuztAL
agreements frGuztALH
agrees frGuS
agri- brGt
agricultural brGtwcxifGfx
agriculturally brGtwcxifGfxu
agriculture brGtwcxio
aguirre fruGf
ah a
ah- fs
aha asa
